datePulled,contract,type,expiry,strike,bid,ask,volume,oi,lastTrd,impVol
2020-08-18,SPY200819C00319000,CALL,2020-08-19,319.00,19.66,19.80,3,383,2020-08-18 9:56AM EDT,37.50%
2020-08-18,SPY200819C00320000,CALL,2020-08-19,320.00,18.67,18.75,3,631,2020-08-18 9:44AM EDT,12.50%
2020-08-18,SPY200819C00321000,CALL,2020-08-19,321.00,17.67,17.74,4,576,2020-08-18 12:41PM EDT,0.00%
2020-08-18,SPY200819C00322000,CALL,2020-08-19,322.00,16.67,16.73,201,977,2020-08-18 12:03PM EDT,0.00%
2020-08-18,SPY200819C00323000,CALL,2020-08-19,323.00,15.65,15.73,10,553,2020-08-18 11:57AM EDT,0.00%
2020-08-18,SPY200819C00324000,CALL,2020-08-19,324.00,14.66,14.73,6,283,2020-08-18 12:05PM EDT,0.00%
2020-08-18,SPY200819C00325000,CALL,2020-08-19,325.00,13.66,13.74,41,376,2020-08-18 12:42PM EDT,0.00%
2020-08-18,SPY200819C00326000,CALL,2020-08-19,326.00,12.68,12.76,34,462,2020-08-18 12:43PM EDT,20.70%
2020-08-18,SPY200819C00327000,CALL,2020-08-19,327.00,11.68,11.76,48,385,2020-08-18 12:27PM EDT,19.14%
2020-08-18,SPY200819C00328000,CALL,2020-08-19,328.00,10.67,10.75,39,445,2020-08-18 12:41PM EDT,12.50%
2020-08-18,SPY200819C00329000,CALL,2020-08-19,329.00,9.68,9.75,109,924,2020-08-18 12:45PM EDT,12.50%
2020-08-18,SPY200819C00330000,CALL,2020-08-19,330.00,8.70,8.77,187,715,2020-08-18 12:49PM EDT,16.02%
2020-08-18,SPY200819C00331000,CALL,2020-08-19,331.00,7.72,7.77,261,839,2020-08-18 12:51PM EDT,14.45%
2020-08-18,SPY200819C00332000,CALL,2020-08-19,332.00,6.74,6.80,809,"1,586",2020-08-18 12:48PM EDT,14.94%
2020-08-18,SPY200819C00333000,CALL,2020-08-19,333.00,5.73,5.82,463,"2,217",2020-08-18 12:49PM EDT,13.97%
2020-08-18,SPY200819C00334000,CALL,2020-08-19,334.00,4.82,4.87,815,"1,691",2020-08-18 12:48PM EDT,13.48%
2020-08-18,SPY200819C00335000,CALL,2020-08-19,335.00,3.89,3.93,"2,840","3,464",2020-08-18 12:49PM EDT,12.62%
2020-08-18,SPY200819C00336000,CALL,2020-08-19,336.00,3.00,3.04,"8,811","4,857",2020-08-18 12:50PM EDT,11.96%
2020-08-18,SPY200819C00337000,CALL,2020-08-19,337.00,2.17,2.18,"30,813","8,854",2020-08-18 12:50PM EDT,10.91%
2020-08-18,SPY200819C00338000,CALL,2020-08-19,338.00,1.45,1.46,"67,263","12,199",2020-08-18 12:51PM EDT,10.43%
2020-08-18,SPY200819C00339000,CALL,2020-08-19,339.00,0.88,0.89,"86,943","11,803",2020-08-18 12:50PM EDT,10.08%
2020-08-18,SPY200819C00340000,CALL,2020-08-19,340.00,0.47,0.48,"42,998","15,131",2020-08-18 12:51PM EDT,9.79%
2020-08-18,SPY200819C00341000,CALL,2020-08-19,341.00,0.23,0.24,"17,343","13,282",2020-08-18 12:51PM EDT,9.77%
2020-08-18,SPY200819C00342000,CALL,2020-08-19,342.00,0.10,0.11,"61,427","17,541",2020-08-18 12:51PM EDT,9.82%
2020-08-18,SPY200819C00343000,CALL,2020-08-19,343.00,0.04,0.05,"6,421","7,611",2020-08-18 12:50PM EDT,10.06%
2020-08-18,SPY200819C00344000,CALL,2020-08-19,344.00,0.02,0.03,"4,752","6,270",2020-08-18 12:50PM EDT,10.94%
2020-08-18,SPY200819C00345000,CALL,2020-08-19,345.00,0.01,0.02,"3,319","5,627",2020-08-18 12:47PM EDT,11.82%
2020-08-18,SPY200819C00346000,CALL,2020-08-19,346.00,0.01,0.02,"2,316","2,907",2020-08-18 12:43PM EDT,13.48%
2020-08-18,SPY200819C00347000,CALL,2020-08-19,347.00,0.00,0.01,"1,904","8,807",2020-08-18 12:51PM EDT,13.67%
2020-08-18,SPY200819C00348000,CALL,2020-08-19,348.00,0.00,0.01,30,"12,943",2020-08-18 12:38PM EDT,15.24%
2020-08-18,SPY200819C00349000,CALL,2020-08-19,349.00,0.00,0.01,353,"6,230",2020-08-18 10:19AM EDT,16.41%
2020-08-18,SPY200819C00350000,CALL,2020-08-19,350.00,0.00,0.01,35,"1,540",2020-08-18 11:44AM EDT,17.97%
2020-08-18,SPY200819C00351000,CALL,2020-08-19,351.00,0.00,0.01,2,"1,499",2020-08-18 11:32AM EDT,19.14%
2020-08-18,SPY200819C00352000,CALL,2020-08-19,352.00,0.00,0.01,2,"1,260",2020-08-18 10:04AM EDT,20.70%
2020-08-18,SPY200819C00353000,CALL,2020-08-19,353.00,0.00,0.01,1,291,2020-08-14 4:08PM EDT,21.88%
2020-08-18,SPY200819C00354000,CALL,2020-08-19,354.00,0.00,0.01,1,560,2020-08-18 11:44AM EDT,23.44%
2020-08-18,SPY200819C00355000,CALL,2020-08-19,355.00,0.00,0.01,45,"1,244",2020-08-18 9:32AM EDT,24.61%
2020-08-18,SPY200819C00356000,CALL,2020-08-19,356.00,0.00,0.01,10,175,2020-08-13 1:41PM EDT,25.78%
2020-08-18,SPY200819C00357000,CALL,2020-08-19,357.00,0.00,0.01,1,103,2020-08-13 1:41PM EDT,27.34%
2020-08-18,SPY200819C00358000,CALL,2020-08-19,358.00,0.00,0.01,101,182,2020-08-13 4:09PM EDT,28.52%
2020-08-18,SPY200819C00359000,CALL,2020-08-19,359.00,0.00,0.01,1,28,2020-08-13 1:44PM EDT,29.69%
2020-08-18,SPY200819C00360000,CALL,2020-08-19,360.00,0.00,0.01,38,307,2020-08-17 10:54AM EDT,31.25%
2020-08-18,SPY200819C00361000,CALL,2020-08-19,361.00,0.00,0.01,1,23,2020-08-13 2:19PM EDT,32.03%
2020-08-18,SPY200819C00362000,CALL,2020-08-19,362.00,0.00,0.01,1,8,2020-08-13 2:21PM EDT,33.59%
2020-08-18,SPY200819C00363000,CALL,2020-08-19,363.00,-,0.01,-,1,2020-08-17 12:03AM EDT,34.77%
2020-08-18,SPY200819C00364000,CALL,2020-08-19,364.00,-,0.01,-,10,2020-08-17 12:03AM EDT,35.94%
2020-08-18,SPY200819C00365000,CALL,2020-08-19,365.00,0.00,0.01,18,143,2020-08-10 10:09AM EDT,37.50%
2020-08-18,SPY200819C00367000,CALL,2020-08-19,367.00,0.00,0.01,1,1,2020-08-10 9:30AM EDT,39.84%
2020-08-18,SPY200819C00370000,CALL,2020-08-19,370.00,0.00,0.01,3,34,2020-07-28 9:40AM EDT,42.97%
2020-08-18,SPY200819C00375000,CALL,2020-08-19,375.00,0.00,0.01,1,1,2020-07-27 9:30AM EDT,49.22%
2020-08-18,SPY200819C00380000,CALL,2020-08-19,380.00,0.00,0.01,40,46,2020-08-17 3:04PM EDT,51.56%
2020-08-18,SPY200819C00385000,CALL,2020-08-19,385.00,0.00,0.01,-,14,2020-07-23 2:10PM EDT,56.25%
2020-08-18,SPY200819C00390000,CALL,2020-08-19,390.00,0.00,0.01,-,1,2020-07-23 10:55AM EDT,62.50%
2020-08-18,SPY200819C00395000,CALL,2020-08-19,395.00,-,0.01,-,1,2020-08-17 12:03AM EDT,71.09%
2020-08-18,SPY200819C00405000,CALL,2020-08-19,405.00,-,0.01,-,10,2020-08-17 12:03AM EDT,81.25%
2020-08-18,SPY200819P00165000,PUT,2020-08-19,165.00,0.00,0.01,1,"2,706",2020-08-03 1:37PM EDT,287.50%
2020-08-18,SPY200819P00170000,PUT,2020-08-19,170.00,0.00,0.01,60,60,2020-07-27 9:47AM EDT,275.00%
2020-08-18,SPY200819P00185000,PUT,2020-08-19,185.00,0.00,0.01,2,4,2020-08-10 10:32AM EDT,243.75%
2020-08-18,SPY200819P00190000,PUT,2020-08-19,190.00,0.00,0.01,100,100,2020-08-05 9:47AM EDT,237.50%
2020-08-18,SPY200819P00195000,PUT,2020-08-19,195.00,0.00,0.01,114,117,2020-07-28 3:59PM EDT,225.00%
2020-08-18,SPY200819P00200000,PUT,2020-08-19,200.00,0.00,0.01,200,411,2020-08-07 11:41AM EDT,212.50%
2020-08-18,SPY200819P00205000,PUT,2020-08-19,205.00,0.00,0.01,2,443,2020-08-13 9:40AM EDT,206.25%
2020-08-18,SPY200819P00210000,PUT,2020-08-19,210.00,0.00,0.01,1,522,2020-08-05 10:29AM EDT,193.75%
2020-08-18,SPY200819P00215000,PUT,2020-08-19,215.00,0.00,0.01,50,50,2020-08-04 1:24PM EDT,187.50%
2020-08-18,SPY200819P00220000,PUT,2020-08-19,220.00,0.00,0.01,80,111,2020-08-10 9:30AM EDT,178.13%
2020-08-18,SPY200819P00225000,PUT,2020-08-19,225.00,0.00,0.01,8,559,2020-08-11 3:27PM EDT,168.75%
2020-08-18,SPY200819P00230000,PUT,2020-08-19,230.00,0.00,0.01,1,208,2020-08-11 2:38PM EDT,162.50%
2020-08-18,SPY200819P00235000,PUT,2020-08-19,235.00,0.00,0.01,500,368,2020-08-12 10:44AM EDT,150.00%
2020-08-18,SPY200819P00240000,PUT,2020-08-19,240.00,0.00,0.01,119,726,2020-08-05 1:17PM EDT,143.75%
2020-08-18,SPY200819P00245000,PUT,2020-08-19,245.00,0.00,0.01,2,62,2020-08-13 2:41PM EDT,137.50%
2020-08-18,SPY200819P00250000,PUT,2020-08-19,250.00,0.00,0.01,86,213,2020-08-13 9:40AM EDT,128.13%
2020-08-18,SPY200819P00255000,PUT,2020-08-19,255.00,0.00,0.01,1,130,2020-08-14 11:07AM EDT,118.75%
2020-08-18,SPY200819P00260000,PUT,2020-08-19,260.00,0.00,0.01,1,45,2020-08-14 2:29PM EDT,112.50%
2020-08-18,SPY200819P00265000,PUT,2020-08-19,265.00,0.00,0.01,1,20,2020-08-10 1:15PM EDT,106.25%
2020-08-18,SPY200819P00270000,PUT,2020-08-19,270.00,0.00,0.01,5,422,2020-08-17 9:30AM EDT,96.88%
2020-08-18,SPY200819P00275000,PUT,2020-08-19,275.00,0.00,0.01,20,"1,064",2020-08-17 12:50PM EDT,90.63%
2020-08-18,SPY200819P00280000,PUT,2020-08-19,280.00,0.00,0.01,10,"1,360",2020-08-17 12:51PM EDT,82.81%
2020-08-18,SPY200819P00285000,PUT,2020-08-19,285.00,0.00,0.01,1,"1,817",2020-08-17 9:30AM EDT,75.00%
2020-08-18,SPY200819P00289000,PUT,2020-08-19,289.00,0.00,0.01,1,"1,367",2020-08-14 11:16AM EDT,70.31%
2020-08-18,SPY200819P00290000,PUT,2020-08-19,290.00,0.00,0.01,6,766,2020-08-14 4:03PM EDT,68.75%
2020-08-18,SPY200819P00291000,PUT,2020-08-19,291.00,0.00,0.01,2,289,2020-08-17 9:30AM EDT,67.19%
2020-08-18,SPY200819P00292000,PUT,2020-08-19,292.00,0.00,0.01,7,424,2020-08-17 12:51PM EDT,65.63%
2020-08-18,SPY200819P00293000,PUT,2020-08-19,293.00,0.00,0.01,2,150,2020-08-12 2:59PM EDT,64.06%
2020-08-18,SPY200819P00294000,PUT,2020-08-19,294.00,0.00,0.01,51,185,2020-08-13 11:38AM EDT,62.50%
2020-08-18,SPY200819P00295000,PUT,2020-08-19,295.00,0.00,0.01,105,643,2020-08-17 4:02PM EDT,62.50%
2020-08-18,SPY200819P00296000,PUT,2020-08-19,296.00,0.00,0.01,"1,337","2,258",2020-08-17 4:13PM EDT,59.38%
2020-08-18,SPY200819P00297000,PUT,2020-08-19,297.00,0.00,0.01,313,453,2020-08-18 10:28AM EDT,59.38%
2020-08-18,SPY200819P00298000,PUT,2020-08-19,298.00,0.00,0.01,45,612,2020-08-14 2:34PM EDT,57.81%
2020-08-18,SPY200819P00299000,PUT,2020-08-19,299.00,0.00,0.01,1,939,2020-08-14 3:25PM EDT,56.25%
2020-08-18,SPY200819P00300000,PUT,2020-08-19,300.00,0.00,0.01,254,"2,385",2020-08-18 11:52AM EDT,54.69%
2020-08-18,SPY200819P00301000,PUT,2020-08-19,301.00,0.00,0.01,353,290,2020-08-18 12:05PM EDT,53.13%
2020-08-18,SPY200819P00302000,PUT,2020-08-19,302.00,0.00,0.01,114,384,2020-08-18 11:00AM EDT,51.56%
2020-08-18,SPY200819P00303000,PUT,2020-08-19,303.00,0.00,0.01,162,392,2020-08-18 10:08AM EDT,50.00%
2020-08-18,SPY200819P00304000,PUT,2020-08-19,304.00,0.00,0.01,2,255,2020-08-18 12:13PM EDT,50.00%
2020-08-18,SPY200819P00305000,PUT,2020-08-19,305.00,0.00,0.01,2,771,2020-08-14 3:59PM EDT,50.78%
2020-08-18,SPY200819P00306000,PUT,2020-08-19,306.00,0.00,0.01,11,533,2020-08-17 12:46PM EDT,50.00%
2020-08-18,SPY200819P00307000,PUT,2020-08-19,307.00,0.01,0.02,30,424,2020-08-18 12:45PM EDT,50.00%
2020-08-18,SPY200819P00308000,PUT,2020-08-19,308.00,0.01,0.02,3,"1,241",2020-08-17 11:44AM EDT,50.00%
2020-08-18,SPY200819P00309000,PUT,2020-08-19,309.00,0.01,0.02,2,865,2020-08-18 11:56AM EDT,48.44%
2020-08-18,SPY200819P00310000,PUT,2020-08-19,310.00,0.01,0.02,50,"10,128",2020-08-18 11:20AM EDT,47.27%
2020-08-18,SPY200819P00311000,PUT,2020-08-19,311.00,0.01,0.02,10,"1,732",2020-08-17 3:56PM EDT,45.70%
2020-08-18,SPY200819P00312000,PUT,2020-08-19,312.00,0.01,0.02,56,"1,781",2020-08-18 11:56AM EDT,44.14%
2020-08-18,SPY200819P00313000,PUT,2020-08-19,313.00,0.01,0.02,34,408,2020-08-18 11:58AM EDT,42.58%
2020-08-18,SPY200819P00314000,PUT,2020-08-19,314.00,0.01,0.02,124,810,2020-08-18 11:31AM EDT,41.02%
2020-08-18,SPY200819P00315000,PUT,2020-08-19,315.00,0.01,0.02,91,"1,201",2020-08-18 12:19PM EDT,39.45%
2020-08-18,SPY200819P00316000,PUT,2020-08-19,316.00,0.01,0.02,"1,188","1,036",2020-08-18 10:27AM EDT,37.89%
2020-08-18,SPY200819P00317000,PUT,2020-08-19,317.00,0.01,0.02,"1,553","1,377",2020-08-18 11:33AM EDT,36.33%
2020-08-18,SPY200819P00318000,PUT,2020-08-19,318.00,0.01,0.02,161,858,2020-08-18 12:31PM EDT,34.77%
2020-08-18,SPY200819P00319000,PUT,2020-08-19,319.00,0.01,0.02,25,"1,002",2020-08-18 12:24PM EDT,33.20%
2020-08-18,SPY200819P00320000,PUT,2020-08-19,320.00,0.02,0.03,185,"1,901",2020-08-18 12:49PM EDT,33.59%
2020-08-18,SPY200819P00321000,PUT,2020-08-19,321.00,0.03,0.04,39,"1,274",2020-08-18 11:17AM EDT,33.20%
2020-08-18,SPY200819P00322000,PUT,2020-08-19,322.00,0.03,0.04,294,"1,798",2020-08-18 12:45PM EDT,31.45%
2020-08-18,SPY200819P00323000,PUT,2020-08-19,323.00,0.02,0.03,116,"2,217",2020-08-18 12:32PM EDT,28.52%
2020-08-18,SPY200819P00324000,PUT,2020-08-19,324.00,0.02,0.03,118,"5,545",2020-08-18 12:37PM EDT,26.95%
2020-08-18,SPY200819P00325000,PUT,2020-08-19,325.00,0.02,0.03,"1,459","3,948",2020-08-18 12:42PM EDT,25.39%
2020-08-18,SPY200819P00326000,PUT,2020-08-19,326.00,0.03,0.04,483,"3,712",2020-08-18 12:46PM EDT,24.81%
2020-08-18,SPY200819P00327000,PUT,2020-08-19,327.00,0.03,0.04,730,"2,829",2020-08-18 12:45PM EDT,23.05%
2020-08-18,SPY200819P00328000,PUT,2020-08-19,328.00,0.03,0.04,"2,026","6,399",2020-08-18 12:47PM EDT,21.29%
2020-08-18,SPY200819P00329000,PUT,2020-08-19,329.00,0.04,0.05,"3,095","5,903",2020-08-18 12:49PM EDT,20.31%
2020-08-18,SPY200819P00330000,PUT,2020-08-19,330.00,0.05,0.06,"15,432","19,015",2020-08-18 12:51PM EDT,19.14%
2020-08-18,SPY200819P00331000,PUT,2020-08-19,331.00,0.06,0.07,"8,668","12,147",2020-08-18 12:51PM EDT,17.77%
2020-08-18,SPY200819P00332000,PUT,2020-08-19,332.00,0.09,0.10,"14,091","8,585",2020-08-18 12:51PM EDT,17.09%
2020-08-18,SPY200819P00333000,PUT,2020-08-19,333.00,0.11,0.12,"12,090","13,172",2020-08-18 12:50PM EDT,15.63%
2020-08-18,SPY200819P00334000,PUT,2020-08-19,334.00,0.15,0.16,"25,243","12,838",2020-08-18 12:50PM EDT,14.50%
2020-08-18,SPY200819P00335000,PUT,2020-08-19,335.00,0.22,0.23,"34,155","11,580",2020-08-18 12:50PM EDT,13.60%
2020-08-18,SPY200819P00336000,PUT,2020-08-19,336.00,0.32,0.33,"34,792","12,887",2020-08-18 12:50PM EDT,12.57%
2020-08-18,SPY200819P00337000,PUT,2020-08-19,337.00,0.49,0.50,"56,713","11,178",2020-08-18 12:51PM EDT,11.77%
2020-08-18,SPY200819P00338000,PUT,2020-08-19,338.00,0.77,0.78,"69,128","9,480",2020-08-18 12:51PM EDT,11.16%
2020-08-18,SPY200819P00339000,PUT,2020-08-19,339.00,1.18,1.20,"26,725","3,159",2020-08-18 12:51PM EDT,10.69%
2020-08-18,SPY200819P00340000,PUT,2020-08-19,340.00,1.79,1.81,"9,958","2,281",2020-08-18 12:51PM EDT,10.69%
2020-08-18,SPY200819P00341000,PUT,2020-08-19,341.00,2.53,2.56,"2,445",769,2020-08-18 12:49PM EDT,10.79%
2020-08-18,SPY200819P00342000,PUT,2020-08-19,342.00,3.39,3.43,"1,259",249,2020-08-18 12:48PM EDT,11.30%
2020-08-18,SPY200819P00343000,PUT,2020-08-19,343.00,4.34,4.40,360,103,2020-08-18 12:46PM EDT,12.99%
2020-08-18,SPY200819P00344000,PUT,2020-08-19,344.00,5.32,5.39,144,302,2020-08-18 12:45PM EDT,14.89%
2020-08-18,SPY200819P00345000,PUT,2020-08-19,345.00,6.31,6.38,103,120,2020-08-18 12:47PM EDT,16.70%
2020-08-18,SPY200819P00346000,PUT,2020-08-19,346.00,7.29,7.38,17,37,2020-08-18 12:31PM EDT,18.70%
2020-08-18,SPY200819P00347000,PUT,2020-08-19,347.00,8.30,8.38,18,19,2020-08-18 11:37AM EDT,20.70%
2020-08-18,SPY200819P00348000,PUT,2020-08-19,348.00,9.28,9.35,31,75,2020-08-18 10:01AM EDT,21.44%
2020-08-18,SPY200819P00349000,PUT,2020-08-19,349.00,10.28,10.36,4,2,2020-08-17 3:28PM EDT,23.68%
2020-08-18,SPY200819P00350000,PUT,2020-08-19,350.00,11.28,11.35,12,28,2020-08-18 12:35PM EDT,25.00%
2020-08-18,SPY200819P00351000,PUT,2020-08-19,351.00,12.29,12.36,-,2,2020-08-17 12:03AM EDT,27.25%
2020-08-18,SPY200819P00352000,PUT,2020-08-19,352.00,13.29,13.35,1,2,2020-08-17 10:09AM EDT,28.52%
2020-08-18,SPY200819P00353000,PUT,2020-08-19,353.00,14.29,14.38,-,4,2020-08-17 12:03AM EDT,31.74%
2020-08-18,SPY200819P00355000,PUT,2020-08-19,355.00,16.28,16.35,-,-,2020-08-17 12:03AM EDT,33.59%
2020-08-18,SPY200819P00360000,PUT,2020-08-19,360.00,21.28,21.35,3,0,2020-08-18 12:36PM EDT,41.80%
2020-08-18,SPY200819P00366000,PUT,2020-08-19,366.00,27.29,27.35,-,4,2020-08-17 12:03AM EDT,51.17%
2020-08-18,SPY200819P00375000,PUT,2020-08-19,375.00,36.29,36.35,-,6,2020-07-23 9:56AM EDT,61.33%
2020-08-18,SPY200821C00140000,CALL,2020-08-21,140.00,198.55,198.83,4,3,2020-07-31 2:54PM EDT,316.41%
2020-08-18,SPY200821C00145000,CALL,2020-08-21,145.00,193.57,193.83,2,3,2020-08-17 3:38PM EDT,304.69%
2020-08-18,SPY200821C00150000,CALL,2020-08-21,150.00,170.26,170.65,6,6,2020-06-26 11:23AM EDT,0.00%
2020-08-18,SPY200821C00160000,CALL,2020-08-21,160.00,164.83,165.12,-,0,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00165000,CALL,2020-08-21,165.00,159.71,160.01,100,0,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00170000,CALL,2020-08-21,170.00,164.30,164.73,1,1,2020-07-10 11:21AM EDT,0.00%
2020-08-18,SPY200821C00175000,CALL,2020-08-21,175.00,149.70,150.00,10,6,2020-07-06 9:35AM EDT,0.00%
2020-08-18,SPY200821C00180000,CALL,2020-08-21,180.00,154.35,154.73,5,5,2020-07-10 3:14PM EDT,0.00%
2020-08-18,SPY200821C00185000,CALL,2020-08-21,185.00,0.00,0.00,2,0,2020-07-09 4:59PM EDT,0.00%
2020-08-18,SPY200821C00190000,CALL,2020-08-21,190.00,148.57,148.83,5,5,2020-07-22 4:08PM EDT,213.28%
2020-08-18,SPY200821C00195000,CALL,2020-08-21,195.00,0.00,0.00,1,1,2020-07-09 4:59PM EDT,0.00%
2020-08-18,SPY200821C00200000,CALL,2020-08-21,200.00,138.57,138.83,2,48,2020-08-03 3:55PM EDT,195.70%
2020-08-18,SPY200821C00205000,CALL,2020-08-21,205.00,0.00,0.00,1,1,2020-07-09 4:59PM EDT,0.00%
2020-08-18,SPY200821C00210000,CALL,2020-08-21,210.00,128.57,128.83,12,1,2020-08-06 3:49PM EDT,178.91%
2020-08-18,SPY200821C00215000,CALL,2020-08-21,215.00,123.57,123.83,19,600,2020-08-17 9:30AM EDT,171.09%
2020-08-18,SPY200821C00220000,CALL,2020-08-21,220.00,118.57,118.83,20,892,2020-08-06 12:42PM EDT,162.89%
2020-08-18,SPY200821C00221000,CALL,2020-08-21,221.00,104.00,104.30,-,0,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00222000,CALL,2020-08-21,222.00,98.41,98.79,68,72,2020-06-24 2:03PM EDT,0.00%
2020-08-18,SPY200821C00223000,CALL,2020-08-21,223.00,97.41,97.80,-,475,2020-06-24 3:18PM EDT,0.00%
2020-08-18,SPY200821C00224000,CALL,2020-08-21,224.00,96.42,96.80,-,411,2020-06-24 2:08PM EDT,0.00%
2020-08-18,SPY200821C00225000,CALL,2020-08-21,225.00,111.11,111.43,8,40,2020-07-16 11:36AM EDT,0.00%
2020-08-18,SPY200821C00226000,CALL,2020-08-21,226.00,98.84,99.14,2,8,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00228000,CALL,2020-08-21,228.00,97.05,97.29,-,2,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00229000,CALL,2020-08-21,229.00,0.00,0.00,-,2,2020-07-09 4:59PM EDT,0.00%
2020-08-18,SPY200821C00230000,CALL,2020-08-21,230.00,108.55,108.79,7,21,2020-08-14 12:30PM EDT,137.50%
2020-08-18,SPY200821C00231000,CALL,2020-08-21,231.00,89.46,89.83,1,5,2020-06-26 1:07PM EDT,0.00%
2020-08-18,SPY200821C00232000,CALL,2020-08-21,232.00,106.56,106.81,2,8,2020-08-07 9:40AM EDT,140.23%
2020-08-18,SPY200821C00233000,CALL,2020-08-21,233.00,91.92,92.18,1,1,2020-07-09 8:14PM EDT,0.00%
2020-08-18,SPY200821C00235000,CALL,2020-08-21,235.00,103.58,103.83,1,599,2020-08-13 12:21PM EDT,140.23%
2020-08-18,SPY200821C00236000,CALL,2020-08-21,236.00,95.48,95.79,3,6,2020-07-06 2:10PM EDT,0.00%
